19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:53  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:53  L -> UBX CFG,  Size  10,  'Config'
19:27:53  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:53  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:53  L -> NMEA GPGSA,  Size  56,  'GNSS DOP and Active Satellites'
19:27:53  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:53  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:53  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:53  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:53  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:54  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:54  L -> UBX CFG,  Size  10,  'Config'
19:27:54  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:54  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:54  L -> NMEA GPGSA,  Size  56,  'GNSS DOP and Active Satellites'
19:27:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:54  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:54  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:54  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:55  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:55  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:55  L -> UBX CFG,  Size  10,  'Config'
19:27:55  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:55  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:55  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:55  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:56  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:56  L -> UBX CFG,  Size  10,  'Config'
19:27:56  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:56  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:56  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:56  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:56  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:57  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:57  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:57  L -> UBX CFG,  Size  10,  'Config'
19:27:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:57  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:57  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:57  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:58  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:58  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:58  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:58  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:58  L -> UBX CFG,  Size  10,  'Config'
19:27:59  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:59  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:59  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:59  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:00  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:00  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:00  L -> UBX CFG,  Size  10,  'Config'
19:28:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:00  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:00  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:01  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:01  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:01  L -> UBX CFG,  Size  10,  'Config'
19:28:01  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:28:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:02  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:02  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:02  L -> UBX CFG,  Size  10,  'Config'
19:28:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:02  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:02  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:03  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:03  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:03  L -> UBX CFG,  Size  10,  'Config'
19:28:03  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:03  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:04  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:04  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:04  L -> UBX CFG,  Size  10,  'Config'
19:28:04  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:04  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:05  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:05  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:05  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:05  L -> UBX CFG,  Size  10,  'Config'
19:28:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:05  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:06  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:06  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:06  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:06  L -> UBX CFG,  Size  10,  'Config'
19:28:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:06  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:07  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:07  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:07  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:07  L -> UBX CFG,  Size  10,  'Config'
19:28:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:07  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:08  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:08  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:08  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:08  L -> UBX CFG,  Size  10,  'Config'
19:28:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:08  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:09  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:09  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:09  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:09  L -> UBX CFG,  Size  10,  'Config'
19:28:09  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:10  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:10  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:10  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:10  L -> UBX CFG,  Size  10,  'Config'
19:28:10  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:11  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:11  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:11  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:11  L -> UBX CFG,  Size  10,  'Config'
19:28:11  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:12  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:12  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:12  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:12  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:12  L -> UBX CFG,  Size  10,  'Config'
19:28:12  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:12  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:13  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:13  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:13  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:13  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:13  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:13  L -> UBX CFG,  Size  10,  'Config'
19:28:13  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:13  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:14  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:14  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:14  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:14  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:14  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
19:28:14  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:14  L -> UBX CFG,  Size  10,  'Config'
19:28:14  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:15  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:15  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:15  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:15  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:15  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:15  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:15  L -> UBX CFG,  Size  10,  'Config'
19:28:15  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:16  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:16  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:16  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:16  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:16  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:16  L -> UBX CFG,  Size  10,  'Config'
19:28:16  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:16  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:17  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:17  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:17  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:17  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:17  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:17  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:17  L -> UBX CFG,  Size  10,  'Config'
19:28:17  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:18  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:18  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:18  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:18  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:18  L -> UBX CFG,  Size  10,  'Config'
19:28:19  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:19  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:19  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:19  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:19  L -> UBX CFG,  Size  10,  'Config'
19:28:20  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:20  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:20  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:20  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:21  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:21  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:21  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:21  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:21  L -> UBX CFG,  Size  10,  'Config'
19:28:22  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:22  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:22  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:22  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:22  L -> UBX CFG,  Size  10,  'Config'
19:28:23  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:23  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:23  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:23  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:23  L -> UBX CFG,  Size  10,  'Config'
19:28:24  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:24  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:24  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:24  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:24  L -> UBX CFG,  Size  10,  'Config'
19:28:25  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:25  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:25  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:25  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:25  L -> UBX CFG,  Size  10,  'Config'
19:28:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:26  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:27  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:27  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:27  L -> UBX CFG,  Size  10,  'Config'
19:28:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:28  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:28  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:28  L -> UBX CFG,  Size  10,  'Config'
19:28:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:28  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:29  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:29  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:29  L -> UBX CFG,  Size  10,  'Config'
19:28:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:30  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:30  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:28:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:28:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:28:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:28:30  L -> UBX CFG,  Size  10,  'Config'
19:28:31  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:28:31  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:28:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:28:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
